file,player,turnID,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength, signalType
/Cod - Ex5.eaf,1,2,"Req",806400,809599,3199,Visual Signs ,806400,809599,3199,"S"
/Cod - Ex5.eaf,1,3,"Req",827416,830632,3216,Visual Signs ,827416,830632,3216,"C"
/Cod - Ex5.eaf,1,4,"Req",849249,851632,2383,Visual Signs ,849249,851632,2383,"C"
/Cod - Ex5.eaf,1,5,"Req",723549,725066,1517,Visual Signs ,723549,725066,1517,"S"
/Cod - Ex5.eaf,1,6,"Req",747616,750232,2616,Visual Signs ,747616,750232,2616,"S"
/Cod - Ex5.eaf,1,7,"Req",768632,772015,3383,Visual Signs ,768632,772015,3383,"S"
/Cod - Ex5.eaf,1,8,"Req",788215,791032,2817,Visual Signs ,788215,791032,2817,"S"
/Cod - Ex5.eaf,1,9,"Req",522299,526182,3883,Visual Signs ,522299,526182,3883,"S"
/Cod - Ex5.eaf,1,10,"Req",490216,493882,3666,Visual Signs ,490216,493882,3666,"C"
/Cod - Ex5.eaf,1,11,"Req",567266,570283,3017,Visual Signs ,567266,570283,3017,"S"
/Cod - Ex5.eaf,1,12,"Req",544399,546215,1816,Visual Signs ,544399,546215,1816,"S"
/Cod - Ex5.eaf,1,13,"Req",610100,612433,2333,Visual Signs ,610100,612433,2333,"S"
/Cod - Ex5.eaf,1,14,"Req",590432,593649,3217,Visual Signs ,590432,593649,3217,"S"
/Cod - Ex5.eaf,1,15,"Req",650332,653615,3283,Visual Signs ,650332,653615,3283,"S?"
/Cod - Ex5.eaf,1,16,"Req",630132,633149,3017,Visual Signs ,630132,633149,3017,"S"
/Cod - Ex5.eaf,1,17,"Req",703099,706249,3150,Visual Signs ,703099,706249,3150,"C"
/Cod - Ex5.eaf,1,18,"Req",675615,678032,2417,Visual Signs ,675615,678032,2417,"C"
/Cod - Ex5.eaf,1,19,"Req",377188,381368,4180,Visual Signs ,377188,381368,4180,"S"
/Cod - Ex5.eaf,1,20,"Req",347838,350238,2400,Visual Signs ,347838,350238,2400,"C?"
/Cod - Ex5.eaf,1,21,"Req",403220,407660,4440,Visual Signs ,403220,407660,4440,"S"
/Cod - Ex5.eaf,1,22,"Request",25693,38323,12630,Visual Signs ,25693,38323,12630,"C"
/Cod - Ex5.eaf,1,23,"Request",131718,134478,2760,Visual Signs ,131718,134478,2760,"S"
/Cod - Ex5.eaf,1,24,"Request",85018,89518,4500,Visual Signs ,85018,89518,4500,"C"
/Cod - Ex5.eaf,1,25,"Request",197208,199748,2540,Visual Signs ,197208,199748,2540,"S"
/Cod - Ex5.eaf,1,26,"Request",169368,172568,3200,Visual Signs ,169368,172568,3200,"S?"
/Cod - Ex5.eaf,1,27,"Req",250688,254168,3480,Visual Signs ,250688,254168,3480,"S"
/Cod - Ex5.eaf,1,28,"Req",223278,226618,3340,Visual Signs ,223278,226618,3340,"S"
/Cod - Ex5.eaf,1,29,"Req",318588,322128,3540,Visual Signs ,318588,322128,3540,"S"
/Cod - Ex5.eaf,1,30,"Req",273748,278408,4660,Visual Signs ,273748,278408,4660,"C"
/Cod - Ex5.eaf,1,31,"Req",425066,427732,2666,Visual Signs ,425066,427732,2666,"S"
/Cod - Ex5.eaf,1,32,"Req",446449,449832,3383,Visual Signs ,446449,449832,3383,"S"
/Cod - Ex5.eaf,1,33,"Req",466616,471665,5049,Visual Signs ,466616,471665,5049,"S"
/Cod - Ex5.eaf,2,34,"Req",286548,290328,3780,Visual Signs ,286548,290328,3780,"S"
/Cod - Ex5.eaf,2,35,"Req",330468,333468,3000,Visual Signs ,330468,333468,3000,"C"
/Cod - Ex5.eaf,2,36,"Req",358568,361748,3180,Visual Signs ,358568,361748,3180,"S"
/Cod - Ex5.eaf,2,37,"Req",389948,392908,2960,Visual Signs ,389948,392908,2960,"C"
/Cod - Ex5.eaf,2,38,"Req",434699,437965,3266,Visual Signs ,434699,437965,3266,"S"
/Cod - Ex5.eaf,2,39,"Req",454933,456649,1716,Visual Signs ,454933,456649,1716,"S"
/Cod - Ex5.eaf,2,40,"Req",412933,416382,3449,Visual Signs ,412933,416382,3449,"S"
/Cod - Ex5.eaf,2,41,"Req",683632,686716,3084,Visual Signs ,683632,686716,3084,"S"
/Cod - Ex5.eaf,2,42,"Req",617132,620782,3650,Visual Signs ,617132,620782,3650,"S"
/Cod - Ex5.eaf,2,43,"Request",151288,155108,3820,Visual Signs ,151288,155108,3820,"C"
/Cod - Ex5.eaf,2,44,"Request",102338,106838,4500,Visual Signs ,102338,106838,4500,"C"
/Cod - Ex5.eaf,2,45,"Request",207528,211248,3720,Visual Signs ,207528,211248,3720,"S"
/Cod - Ex5.eaf,2,46,"Request",183498,187578,4080,Visual Signs ,183498,187578,4080,"S"
/Cod - Ex5.eaf,2,47,"Request",59938,65678,5740,Visual Signs ,59938,65678,5740,"C"
/Cod - Ex5.eaf,2,48,"Req",662549,665465,2916,Visual Signs ,662549,665465,2916,"S"
/Cod - Ex5.eaf,2,49,"Req",640199,642249,2050,Visual Signs ,640199,642249,2050,"S"
/Cod - Ex5.eaf,2,50,"Req",260418,264618,4200,Visual Signs ,260418,264618,4200,"S"
/Cod - Ex5.eaf,2,51,"Req",598516,601266,2750,Visual Signs ,598516,601266,2750,"S"
/Cod - Ex5.eaf,2,52,"Req",579632,581915,2283,Visual Signs ,579632,581915,2283,"C"
/Cod - Ex5.eaf,2,53,"Req",551416,553382,1966,Visual Signs ,551416,553382,1966,"S"
/Cod - Ex5.eaf,2,54,"Req",235418,237658,2240,Visual Signs ,235418,237658,2240,"S"
/Cod - Ex5.eaf,2,55,"Req",501965,504915,2950,Visual Signs ,501965,504915,2950,"S"
/Cod - Ex5.eaf,2,56,"Req",476966,479966,3000,Visual Signs ,476966,479966,3000,"S"
/Cod - Ex5.eaf,2,57,"Req",758182,760465,2283,Visual Signs ,758182,760465,2283,"C"
/Cod - Ex5.eaf,2,58,"Req",776382,778049,1667,Visual Signs ,776382,778049,1667,"S"
/Cod - Ex5.eaf,2,59,"Req",712016,715249,3233,Visual Signs ,712016,715249,3233,"C"
/Cod - Ex5.eaf,2,60,"Req",730482,733416,2934,Visual Signs ,730482,733416,2934,"S"
/Cod - Ex5.eaf,2,61,"Req",837382,840632,3250,Visual Signs ,837382,840632,3250,"S"
/Cod - Ex5.eaf,2,62,"Req",856849,859816,2967,Visual Signs ,856849,859816,2967,"S"
/Cod - Ex5.eaf,2,63,"Req",795266,797816,2550,Visual Signs ,795266,797816,2550,"S"
/Cod - Ex5.eaf,2,64,"Req",815208,817158,1950,Visual Signs ,815208,817158,1950,"S"
/Cod - Ex5.eaf,2,65,"Req",533999,536049,2050,Visual Signs ,533999,536049,2050,"S"
